2026-07-20T14:55:02 | WARNING  | experiment_runner | scenario=S004 run_no=1 attempt_no=8 returned 'crash'; will retry.
2026-07-20T14:55:12 | INFO     | experiment_runner | Executing scenario=S004 run_no=1 attempt_no=9 run_id=R000040
2026-07-20T14:55:12 | INFO     | executor | Starting run_id=R000040 test_id=T004 scenario_id=S004 attempt=9
2026-07-20T14:55:14 | WARNING  | experiment_runner | scenario=S004 run_no=1 attempt_no=9 returned 'crash'; will retry.
2026-07-20T14:55:24 | INFO     | experiment_runner | Executing scenario=S004 run_no=1 attempt_no=10 run_id=R000041
2026-07-20T14:55:24 | INFO     | executor | Starting run_id=R000041 test_id=T004 scenario_id=S004 attempt=10
2026-07-20T14:55:25 | WARNING  | experiment_runner | scenario=S004 run_no=1 attempt_no=10 returned 'crash'; will retry.
2026-07-20T14:55:35 | ERROR    | experiment_runner | scenario=S004 run_no=1 exhausted 10 attempts without a usable outcome.
2026-07-20T14:55:45 | INFO     | experiment_runner | Executing scenario=S005 run_no=1 attempt_no=1 run_id=R000042
2026-07-20T14:55:45 | INFO     | executor | Starting run_id=R000042 test_id=T005 scenario_id=S005 attempt=1
2026-07-20T14:55:47 | WARNING  | experiment_runner | scenario=S005 run_no=1 attempt_no=1 returned 'crash'; will retry.
2026-07-20T14:55:57 | INFO     | experiment_runner | Executing scenario=S005 run_no=1 attempt_no=2 run_id=R000043
2026-07-20T14:55:57 | INFO     | executor | Starting run_id=R000043 test_id=T005 scenario_id=S005 attempt=2
2026-07-20T14:55:59 | WARNING  | experiment_runner | scenario=S005 run_no=1 attempt_no=2 returned 'crash'; will retry.
2026-07-20T14:56:09 | INFO     | experiment_runner | Executing scenario=S005 run_no=1 attempt_no=3 run_id=R000044
2026-07-20T14:56:09 | INFO     | executor | Starting run_id=R000044 test_id=T005 scenario_id=S005 attempt=3
2026-07-20T14:56:10 | WARNING  | experiment_runner | scenario=S005 run_no=1 attempt_no=3 returned 'crash'; will retry.
2026-07-20T14:56:20 | INFO     | experiment_runner | Executing scenario=S005 run_no=1 attempt_no=4 run_id=R000045
2026-07-20T14:56:20 | INFO     | executor | Starting run_id=R000045 test_id=T005 scenario_id=S005 attempt=4
2026-07-20T14:56:22 | WARNING  | experiment_runner | scenario=S005 run_no=1 attempt_no=4 returned 'crash'; will retry.
2026-07-20T14:56:32 | INFO     | experiment_runner | Executing scenario=S005 run_no=1 attempt_no=5 run_id=R000046
2026-07-20T14:56:32 | INFO     | executor | Starting run_id=R000046 test_id=T005 scenario_id=S005 attempt=5
2026-07-20T14:56:33 | WARNING  | experiment_runner | scenario=S005 run_no=1 attempt_no=5 returned 'crash'; will retry.
2026-07-20T14:56:34 | WARNING  | run_pipeline | Pipeline interrupted by user. Progress has been saved; re-run to resume.
2026-07-20T15:05:37 | INFO     | run_pipeline | GreenAeroTest pilot pipeline starting.
2026-07-20T15:05:37 | INFO     | run_pipeline | Project root: C:\Users\Home 12\Music\Test-scenarios
2026-07-20T15:05:37 | INFO     | run_pipeline | FlightGear executable: C:\Program Files\FlightGear 2020.3\bin\fgfs.exe
2026-07-20T15:05:37 | INFO     | run_pipeline | Plan: 5 scenarios x 10 repetitions = 50 total runs.
2026-07-20T15:05:37 | INFO     | experiment_runner | Starting pilot execution: 5 scenarios x 10 repetitions = 50 planned runs (0 already completed, resuming).
